epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5411.09,1.23574,0.55819,0.97882,0.98171,0.9826,0.99066,0.65339,1.31373,0.54904,0.97977,0.007921,0.007921,0.007921
44,5534.47,1.2412,0.55677,0.97619,0.98184,0.9848,0.98956,0.65854,1.28499,0.51535,0.97532,0.0078715,0.0078715,0.0078715
45,5657.85,1.22361,0.55272,0.97852,0.98335,0.98899,0.99312,0.64875,1.31553,0.52596,0.97887,0.007822,0.007822,0.007822
46,5781.19,1.2238,0.55121,0.97612,0.97976,0.98598,0.99105,0.65282,1.30901,0.52338,0.97842,0.0077725,0.0077725,0.0077725
47,5904.52,1.22906,0.55386,0.97612,0.98254,0.981,0.9908,0.65742,1.28907,0.51814,0.97516,0.007723,0.007723,0.007723
48,6027.88,1.21301,0.54199,0.9719,0.98103,0.98955,0.98981,0.65436,1.30975,0.51074,0.9815,0.0076735,0.0076735,0.0076735
49,6151.24,1.21348,0.54383,0.97121,0.98192,0.97975,0.99143,0.65725,1.30685,0.50936,0.97385,0.007624,0.007624,0.007624
50,6274.58,1.21046,0.54168,0.96937,0.9738,0.97565,0.98884,0.64973,1.30808,0.508,0.97855,0.0075745,0.0075745,0.0075745
51,6397.9,1.19439,0.53445,0.96818,0.98402,0.982,0.9909,0.66409,1.29619,0.49836,0.97897,0.007525,0.007525,0.007525
52,6521.33,1.19504,0.5299,0.96905,0.98034,0.986,0.99006,0.66783,1.27135,0.4946,0.97008,0.0074755,0.0074755,0.0074755
53,6644.8,1.205,0.53252,0.96887,0.97067,0.98999,0.99046,0.65913,1.31102,0.51604,0.97458,0.007426,0.007426,0.007426
54,6768.22,1.19923,0.53165,0.96809,0.98115,0.98863,0.99189,0.66878,1.28825,0.49963,0.97651,0.0073765,0.0073765,0.0073765
55,6891.61,1.18725,0.52747,0.9648,0.98302,0.98606,0.99182,0.66786,1.30519,0.4878,0.97477,0.007327,0.007327,0.007327
56,7015.06,1.18939,0.53277,0.96469,0.97769,0.98462,0.99017,0.66298,1.31009,0.49631,0.97737,0.0072775,0.0072775,0.0072775
57,7138.43,1.18997,0.53038,0.96486,0.98279,0.98475,0.99168,0.67695,1.28073,0.48389,0.96742,0.007228,0.007228,0.007228
58,7261.83,1.18963,0.52527,0.96212,0.9827,0.98475,0.99065,0.6584,1.30633,0.4863,0.97703,0.0071785,0.0071785,0.0071785
59,7385.16,1.17288,0.51702,0.96279,0.98379,0.98755,0.99229,0.66269,1.29479,0.48315,0.97506,0.007129,0.007129,0.007129
60,7508.49,1.17051,0.51789,0.96139,0.98691,0.98475,0.99086,0.6633,1.29731,0.47885,0.97314,0.0070795,0.0070795,0.0070795
61,7631.87,1.17492,0.52169,0.9606,0.98135,0.98424,0.98869,0.65894,1.29101,0.51006,0.96635,0.00703,0.00703,0.00703
62,7755.15,1.16779,0.51477,0.95444,0.98281,0.98909,0.99161,0.66734,1.28164,0.49195,0.97193,0.0069805,0.0069805,0.0069805
63,7878.55,1.16931,0.51442,0.95736,0.98252,0.98877,0.98988,0.66179,1.2776,0.48015,0.96987,0.006931,0.006931,0.006931
64,8001.87,1.15726,0.51125,0.95194,0.98632,0.98862,0.99046,0.67139,1.26924,0.48082,0.96551,0.0068815,0.0068815,0.0068815
65,8125.17,1.15077,0.50933,0.95209,0.9816,0.99031,0.9893,0.66421,1.27371,0.48502,0.97031,0.006832,0.006832,0.006832
66,8248.51,1.15223,0.51071,0.9532,0.98628,0.98352,0.99087,0.6745,1.25531,0.47404,0.96688,0.0067825,0.0067825,0.0067825
67,8371.81,1.15598,0.505,0.95765,0.98397,0.98599,0.99095,0.66805,1.27464,0.47115,0.97125,0.006733,0.006733,0.006733
68,8495.15,1.14685,0.50578,0.95129,0.98659,0.99125,0.99169,0.6682,1.27613,0.46702,0.97008,0.0066835,0.0066835,0.0066835
69,8618.46,1.14574,0.50344,0.94976,0.98575,0.98874,0.99114,0.66477,1.29161,0.47664,0.96875,0.006634,0.006634,0.006634
70,8741.78,1.13634,0.50584,0.95026,0.98643,0.989,0.99194,0.6693,1.2858,0.47057,0.9689,0.0065845,0.0065845,0.0065845
71,8865.13,1.14132,0.49997,0.95227,0.98488,0.99095,0.99192,0.67009,1.27863,0.46669,0.96502,0.006535,0.006535,0.006535
72,8988.5,1.13272,0.4972,0.94985,0.987,0.98675,0.99167,0.67134,1.27687,0.46226,0.96588,0.0064855,0.0064855,0.0064855
73,9111.84,1.13152,0.49605,0.94725,0.98827,0.98978,0.99123,0.67046,1.28363,0.45953,0.96786,0.006436,0.006436,0.006436
74,9235.12,1.1138,0.48854,0.94444,0.98528,0.98763,0.99035,0.67033,1.27766,0.45903,0.96828,0.0063865,0.0063865,0.0063865
75,9358.48,1.13085,0.49538,0.95346,0.98554,0.98926,0.99167,0.67557,1.26836,0.45902,0.96482,0.006337,0.006337,0.006337
76,9481.81,1.12004,0.48863,0.95066,0.98898,0.98867,0.99242,0.67254,1.26716,0.461,0.96831,0.0062875,0.0062875,0.0062875
77,9605.14,1.11901,0.48409,0.94706,0.98919,0.98419,0.99125,0.67396,1.26632,0.46101,0.96798,0.006238,0.006238,0.006238
