Start, 43.6665404, -79.2956656
GNSS 1, 43.6663920, -79.2954510
GNSS 2, 43.6666500, -79.2952991
AR 1, 43.6665358, -79.2951784
AR 2, 43.6667150, -79.2950369
AR 3, 43.6665789, -79.2949119
OBJ 1, 43.6667691, -79.2947851
OBJ 2, 43.6666340, -79.2946681
