                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2585,                 1.3068,                 1.4588,                0.64047,                0.50865,                0.47669,                0.31578,                 1.8978,                  2.098,                   2.11,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2564,                 1.3173,                 1.4489,                0.56833,                0.54262,                0.40465,                0.25466,                 1.8839,                 2.1696,                 2.1149,               0.001307,               0.001307,               0.001307
                     37,                 1.2408,                 1.2867,                  1.443,                0.62891,                0.51894,                0.45946,                0.30458,                 1.8636,                 2.0565,                 2.1495,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2346,                 1.2769,                 1.4361,                0.58314,                0.54005,                0.40665,                0.26148,                 1.8867,                 2.0404,                 2.1344,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2471,                 1.3023,                  1.448,                0.64644,                    0.5,                0.46099,                0.30009,                 1.8758,                 2.0176,                 2.0994,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2229,                 1.2804,                  1.418,                0.72641,                0.47287,                0.48552,                0.32162,                 1.8966,                 2.0728,                 2.1577,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2209,                 1.2766,                 1.4388,                0.60283,                0.54026,                0.42886,                0.27626,                 1.8558,                 2.0873,                 2.1398,               0.001208,               0.001208,               0.001208
                     42,                 1.2201,                  1.268,                 1.4229,                0.63649,                 0.5056,                0.46314,                0.30368,                  1.859,                 2.0463,                 2.0895,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2185,                 1.2645,                 1.4252,                0.58767,                0.53585,                0.48716,                0.31896,                  1.879,                 2.0989,                 2.1652,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.204,                 1.2591,                 1.4159,                0.61206,                0.53747,                0.44663,                0.29529,                 1.8534,                  1.985,                 2.1477,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2035,                 1.2364,                 1.4132,                 0.6112,                0.53416,                0.46546,                0.30262,                 1.9376,                 2.0033,                 2.1961,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1901,                 1.2467,                 1.4118,                0.60637,                0.52742,                0.44213,                0.28967,                 1.8923,                 2.0288,                  2.156,               0.001109,               0.001109,               0.001109
                     47,                 1.1958,                  1.226,                 1.4204,                0.59019,                 0.5407,                0.44074,                0.28472,                 1.7978,                 2.0822,                 2.0553,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1676,                 1.2045,                  1.386,                0.58032,                0.53295,                0.40861,                0.26628,                   1.87,                 2.1487,                 2.1241,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.186,                 1.2314,                 1.4071,                0.60238,                0.53359,                0.41049,                0.26241,                 1.8788,                 2.0862,                 2.1307,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1892,                 1.2208,                 1.4033,                0.61454,                0.53036,                  0.465,                0.30832,                 1.8962,                 2.0988,                 2.1569,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1779,                  1.221,                 1.3848,                0.59824,                0.54134,                 0.4568,                0.29643,                 1.8612,                 2.0528,                 2.0894,                0.00101,                0.00101,                0.00101
                     52,                 1.1845,                 1.2029,                 1.3932,                0.62093,                0.52196,                0.47666,                0.31779,                 1.8831,                 2.0609,                 2.1247,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1622,                 1.2121,                 1.3783,                0.61352,                0.54845,                0.47315,                0.31583,                 1.8209,                 1.9739,                 2.0877,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1566,                 1.1695,                 1.3785,                0.59321,                0.55486,                0.43707,                0.28409,                 1.8242,                 2.1092,                 2.0762,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1525,                 1.1621,                 1.3788,                0.64975,                0.49677,                0.47748,                0.31773,                 1.9158,                 2.0956,                 2.2005,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.177,                 1.2182,                 1.4021,                0.59719,                0.55426,                0.42625,                0.27976,                 1.8571,                 2.1373,                 2.1665,               0.000911,               0.000911,               0.000911
                     57,                 1.1654,                 1.2097,                 1.3806,                 0.6048,                0.54473,                0.46129,                0.30528,                  1.831,                 2.1072,                 2.1324,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1313,                 1.1695,                  1.364,                0.60318,                0.55556,                0.42907,                0.28001,                 1.8462,                 2.0837,                 2.1103,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1642,                 1.2092,                 1.3873,                0.58179,                0.54999,                0.43071,                0.28016,                  1.818,                  2.137,                 2.0712,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1245,                 1.1366,                 1.3582,                0.60444,                0.56858,                0.40986,                0.26817,                 1.7907,                 2.2967,                 2.0962,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1303,                 1.1732,                 1.3622,                0.58694,                0.56783,                0.41908,                0.27152,                 1.8493,                  2.055,                  2.183,               0.000812,               0.000812,               0.000812
                     62,                 1.1338,                 1.1507,                 1.3635,                0.59058,                0.56202,                0.42647,                 0.2747,                 1.8676,                 2.1069,                 2.1957,              0.0007922,              0.0007922,              0.0007922
