id,timestamp,lat,lng,label
02ce9e03-85b9-4fe2-8011-75b6cd256aa9,2025-11-22T14:26:59,43.65807700,-79.39782900,path_point
093a09db-3d39-44a3-a196-f8c5d52f5d2e,2025-11-22T14:26:59,43.65837946,-79.39793050,path_point
463cb6ed-8544-4c6a-a850-85e215119f27,2025-11-22T14:26:59,43.65902370,-79.39776957,path_point
45d732d4-f6b1-463a-8bf6-bdba7c4f4e4d,2025-11-22T14:26:59,43.65920000,-79.39710000,path_point
8d6b374d-43bf-4dac-9184-2c0f74b9fe2b,2025-11-22T14:26:59,43.65917894,-79.39749599,path_point
fcb0e799-7963-4487-92e4-b98d8899eba4,2025-11-22T14:26:59,43.65940403,-79.39788759,path_point
6bccbd09-1329-48b4-a6ec-9ca59500c16b,2025-11-22T14:26:59,43.65955000,-79.39770000,path_point
c150b3f4-9ff1-4d95-8a66-5d84ea2f4bb8,2025-11-22T14:26:59,43.65950882,-79.39733505,path_point
7634d142-7c93-456e-be00-ba88653aaec6,2025-11-22T14:26:59,43.65938075,-79.39684153,path_point
b949940d-c3e2-4120-9936-55fb2aa7e7d5,2025-11-22T14:26:59,43.65895000,-79.39600000,path_point
81804d58-de6c-455f-86ff-0c57e8e7e29a,2025-11-22T14:26:59,43.65940000,-79.39575000,path_point
21bf3c72-00d9-49bf-8434-b20f5b3e79ba,2025-11-22T14:26:59,43.65947777,-79.39554870,path_point
bfee01b4-d85c-4bc6-95ee-45aca8726539,2025-11-22T14:26:59,43.65958256,-79.39537704,path_point
a5232b02-ee46-4565-89f1-7118b007bc0d,2025-11-22T14:26:59,43.65968300,-79.39559700,path_point
aef5fd87-f669-4cc9-adf8-2bf1f8cea498,2025-11-22T14:26:59,43.65885294,-79.39561844,path_point
316b582c-472a-4141-8ec2-e5579214d33e,2025-11-22T14:26:59,43.65857739,-79.39580619,path_point
a36b908e-eb48-497a-b16e-4f1e29f18d61,2025-11-22T14:26:59,43.65840000,-79.39610000,path_point
6b97b436-368b-4e74-98a7-e9eaf3bf4e10,2025-11-22T14:26:59,43.65838722,-79.39579010,path_point
79757f18-c07b-4392-8680-d17f9b5df135,2025-11-22T14:26:59,43.65828244,-79.39568818,path_point
031a20d8-15de-46d5-85e9-ab55b5834b46,2025-11-22T14:26:59,43.65815000,-79.39585000,path_point
