lat,lon,elevation,gx,gy,slope_mag,slope_deg
43.6597748,-79.3957945,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957883,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957821,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957758,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957696,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957634,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957572,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957509,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957447,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957385,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957323,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.395726,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957198,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957136,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957074,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3957011,113.0,0.0,0.0,0.0,0.0
43.6597748,-79.3956949,113.0,0.0,0.0,0.0,0.0
43.6597793,-79.3963113,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3963051,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962989,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962926,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962864,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962802,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.396274,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962677,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962615,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962553,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962491,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962428,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962366,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962304,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962242,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962179,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962117,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3962055,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.3961992,114.0,0.0,0.0,0.0,0.0
43.6597793,-79.396193,114.0,0.0,0.0,0.0,0.0
