epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.538,1.36233,1.75151,1.15761,0.82029,0.81109,0.87834,0.51941,1.52619,1.76121,1.06722,0.00332516,0.00332516,0.00332516
2,292.617,1.27714,1.01791,1.07463,0.87444,0.82436,0.90224,0.53035,1.52712,1.34893,1.05947,0.00663652,0.00663652,0.00663652
3,430.235,1.37127,1.12165,1.10126,0.82483,0.73188,0.80746,0.44978,1.63932,1.9401,1.11234,0.00992588,0.00992588,0.00992588
4,567.583,1.44821,1.21185,1.14827,0.8386,0.77847,0.83991,0.49441,1.6081,1.39288,1.10575,0.009901,0.009901,0.009901
5,704.728,1.42558,1.12574,1.14071,0.86592,0.8135,0.87639,0.50702,1.66932,1.18295,1.12375,0.009868,0.009868,0.009868
6,841.942,1.39945,1.0722,1.1402,0.86947,0.81703,0.90116,0.53782,1.55891,1.1717,1.07163,0.009835,0.009835,0.009835
7,979.131,1.36308,1.02909,1.11665,0.83589,0.85078,0.88297,0.51177,1.58849,1.21844,1.08574,0.009802,0.009802,0.009802
8,1116.31,1.35071,0.98934,1.10911,0.90933,0.89079,0.93096,0.57062,1.52734,1.01736,1.08073,0.009769,0.009769,0.009769
9,1253.47,1.32116,0.93726,1.09552,0.8818,0.89062,0.9198,0.56136,1.53774,1.05352,1.06973,0.009736,0.009736,0.009736
10,1390.64,1.29272,0.91494,1.08815,0.91161,0.89267,0.93651,0.58139,1.48084,1.0719,1.05536,0.009703,0.009703,0.009703
11,1527.83,1.27261,0.88481,1.07387,0.91418,0.89632,0.93981,0.57684,1.48924,1.16215,1.03634,0.00967,0.00967,0.00967
12,1665.04,1.24959,0.86212,1.06677,0.92009,0.9022,0.94182,0.56555,1.51668,0.90066,1.05714,0.009637,0.009637,0.009637
13,1802.26,1.2452,0.84879,1.06487,0.96152,0.91841,0.96363,0.60904,1.4883,0.83492,1.05108,0.009604,0.009604,0.009604
14,1939.54,1.23078,0.83459,1.05463,0.94739,0.90938,0.95554,0.60378,1.46689,0.86256,1.0321,0.009571,0.009571,0.009571
15,2076.74,1.21964,0.81071,1.05078,0.9222,0.91306,0.95201,0.61374,1.47712,0.9756,1.03429,0.009538,0.009538,0.009538
16,2213.9,1.20912,0.81091,1.04706,0.96459,0.91791,0.96752,0.61552,1.42951,0.76546,1.03232,0.009505,0.009505,0.009505
17,2351.1,1.19849,0.79443,1.04424,0.95799,0.92971,0.96778,0.61963,1.46531,0.70381,1.03559,0.009472,0.009472,0.009472
18,2488.3,1.1835,0.76854,1.03316,0.95006,0.90924,0.95889,0.61103,1.44204,0.76928,1.02865,0.009439,0.009439,0.009439
19,2625.41,1.17582,0.76174,1.03086,0.93958,0.90895,0.95375,0.59802,1.46915,0.69697,1.0261,0.009406,0.009406,0.009406
20,2762.53,1.17296,0.74935,1.03647,0.93761,0.93298,0.96161,0.62895,1.42678,0.70059,1.01169,0.009373,0.009373,0.009373
21,2899.68,1.14882,0.74082,1.02264,0.95442,0.93556,0.97035,0.62731,1.43339,0.80259,1.02535,0.00934,0.00934,0.00934
22,3036.83,1.15574,0.73182,1.02402,0.95403,0.9417,0.9745,0.62842,1.41184,0.75574,0.99952,0.009307,0.009307,0.009307
23,3174.1,1.15991,0.72207,1.02116,0.95526,0.94647,0.97057,0.63983,1.36339,0.71442,0.99558,0.009274,0.009274,0.009274
24,3311.27,1.14484,0.70296,1.00704,0.96589,0.94132,0.96669,0.63664,1.40064,0.64712,1.00956,0.009241,0.009241,0.009241
25,3448.52,1.13655,0.71509,1.01721,0.96553,0.93774,0.9751,0.63773,1.39954,0.62346,1.00159,0.009208,0.009208,0.009208
